NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	2	0.5945872664451599	0.45261538	Yes	
row_1	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4	0.2715812921524048	0.6593458	Yes	
row_2	SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	11	0.20710362493991852	0.81672966	Yes	
row_3	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	141	2.4132068574544974E-5	0.8102091	No	
row_4	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	151	2.3666218112339266E-5	0.80977094	No	
row_5	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	167	2.284289621456992E-5	0.80902797	No	
row_6	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	231	2.0559677068376914E-5	0.8058502	No	
row_7	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	267	1.9812343452940695E-5	0.80409116	No	
row_8	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	465	1.6074904124252498E-5	0.79411757	No	
row_9	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	468	1.6048843463067897E-5	0.7940284	No	
row_10	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	493	1.5639516277587973E-5	0.7928238	No	
row_11	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	536	1.5240261745930184E-5	0.79070646	No	
row_12	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	705	1.3661426237376872E-5	0.78220105	No	
row_13	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	801	1.289981446461752E-5	0.77739537	No	
row_14	NGLY1	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]	918	1.2006699762423523E-5	0.77152455	No	
row_15	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	920	1.199854159494862E-5	0.771483	No	
row_16	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	1020	1.1471051948319655E-5	0.7664735	No	
row_17	PGM3	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]	1157	1.0724237654358149E-5	0.7595879	No	
row_18	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	1174	1.0652292075974401E-5	0.75878495	No	
row_19	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	1379	9.620426681067329E-6	0.74845165	No	
row_20	MAK	male germ cell associated kinase [Source:HGNC Symbol;Acc:HGNC:6816]	1515	9.009165296447463E-6	0.7416154	No	
row_21	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	1547	8.894719030649867E-6	0.74005085	No	
row_22	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	1785	8.043227353482507E-6	0.72804356	No	
row_23	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	1796	8.019817869353574E-6	0.7275428	No	
row_24	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	1943	7.555199772468768E-6	0.7201479	No	
row_25	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1961	7.523789008700987E-6	0.7192919	No	
