NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	188	2.179666807933245E-5	-0.009452667	No	
row_1	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	284	1.9170864106854424E-5	-0.01418287	No	
row_2	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	286	1.912080369947944E-5	-0.014125013	No	
row_3	PALS1	protein associated with LIN7 1, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18669]	313	1.850729313446209E-5	-0.015344143	No	
row_4	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	465	1.6074904124252498E-5	-0.022944592	No	
row_5	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	536	1.5240261745930184E-5	-0.026423665	No	
row_6	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	810	1.2833724213123787E-5	-0.04025722	No	
row_7	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	950	1.185680230264552E-5	-0.04727039	No	
row_8	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	1062	1.1256718607910443E-5	-0.052860662	No	
row_9	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	1301	9.939734809449874E-6	-0.06492779	No	
row_10	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	1341	9.742597285367083E-6	-0.06685901	No	
row_11	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	1374	9.642749319027644E-6	-0.068434216	No	
row_12	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	1384	9.610807865101378E-6	-0.068837985	No	
row_13	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	1502	9.081491953111254E-6	-0.07474627	No	
row_14	ADAM23	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]	1548	8.89353032107465E-6	-0.07698797	No	
row_15	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	1658	8.478099516651127E-6	-0.082492165	No	
row_16	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	1755	8.161995538102929E-6	-0.08733595	No	
row_17	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	1792	8.027853255043738E-6	-0.089124106	No	
row_18	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	2058	7.25615336705232E-6	-0.10258187	No	
row_19	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	2118	7.078658200043719E-6	-0.10554705	No	
row_20	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	2300	6.604658665310126E-6	-0.11472958	No	
row_21	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	2433	6.258276243897853E-6	-0.12141803	No	
row_22	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	2445	6.210331321199192E-6	-0.121943034	No	
row_23	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	2463	6.175625458126888E-6	-0.12277387	No	
row_24	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	2569	5.904576482862467E-6	-0.12808895	No	
row_25	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	2644	5.767583388660569E-6	-0.13182569	No	
row_26	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	2792	5.4344900490832515E-6	-0.13928293	No	
row_27	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	2874	5.300568773236591E-6	-0.14337888	No	
row_28	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	2936	5.146337116457289E-6	-0.14645694	No	
row_29	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	2944	5.132003479957348E-6	-0.14678432	No	
row_30	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	3255	4.515204182098387E-6	-0.16254997	No	
row_31	AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	3302	4.439265467226505E-6	-0.16486795	No	
row_32	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	3591	3.950164682464674E-6	-0.17951615	No	
