NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	266	1.9814897314063273E-5	0.004983413	No	
row_1	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	277	1.9420829630689695E-5	0.022615466	No	
row_2	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	310	1.8532711692387238E-5	0.038299322	No	
row_3	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	433	1.6607980796834454E-5	0.047609147	No	
row_4	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	507	1.5480138245038688E-5	0.05835696	No	
row_5	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	685	1.3850855793862138E-5	0.062294856	No	
row_6	DAP3	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]	691	1.377713033434702E-5	0.0749095	No	
row_7	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	712	1.3617175682156812E-5	0.08661204	No	
row_8	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	873	1.2285800039535388E-5	0.08995245	No	
row_9	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	919	1.2004756172245834E-5	0.0988777	No	
row_10	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	991	1.1628570973698515E-5	0.10612955	No	
row_11	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	999	1.156262806034647E-5	0.11657399	No	
row_12	BCL2L2	BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]	1127	1.0851106708287261E-5	0.12025222	No	
row_13	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1259	1.0161184036405757E-5	0.12308263	No	
row_14	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	1444	9.347339073428884E-6	0.12245797	No	
row_15	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	1451	9.316334399045445E-6	0.13085505	No	
row_16	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1483	9.173034413834102E-6	0.13784711	No	
row_17	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1575	8.785982572590001E-6	0.14142685	No	
row_18	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1609	8.654708835820202E-6	0.14783306	No	
row_19	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1724	8.26101404527435E-6	0.14975296	No	
row_20	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	1741	8.2212827692274E-6	0.15661871	No	
row_21	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1806	7.999456101970281E-6	0.16083662	No	
row_22	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1818	7.93601884652162E-6	0.16769014	No	
row_23	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1961	7.523789008700987E-6	0.16749771	No	
row_24	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	1987	7.4520212365314364E-6	0.1731873	No	
row_25	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	2352	6.473029770859284E-6	0.16072544	No	
row_26	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	2403	6.3412303461518604E-6	0.1641063	No	
row_27	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	2527	6.008237050991738E-6	0.16346431	No	
row_28	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	2751	5.532200248126173E-6	0.157293	No	
row_29	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	3076	4.890876880381256E-6	0.14538716	No	
row_30	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	3157	4.704018920165254E-6	0.14571334	No	
row_31	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	3387	4.286937382858014E-6	0.13807379	No	
row_32	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	3427	4.229369551467244E-6	0.14004132	No	
row_33	MGMT	O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]	3584	3.96562927562627E-6	0.13581346	No	
row_34	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3599	3.939833732147235E-6	0.1387817	No	
row_35	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	3635	3.895627287420211E-6	0.14064088	No	
row_36	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	3929	3.470608589850599E-6	0.12898465	No	
row_37	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	3981	3.403146820346592E-6	0.12957026	No	
row_38	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	4232	3.0877729386702413E-6	0.11974282	No	
row_39	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	4357	2.9250659281387925E-6	0.11617008	No	
row_40	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	4366	2.9159859877836425E-6	0.11848705	No	
row_41	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4552	2.7075905109086307E-6	0.111609526	No	
row_42	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	4594	2.6718073513620766E-6	0.112020485	No	
row_43	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	4599	2.664058229129296E-6	0.11430553	No	
row_44	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	4869	2.356048753426876E-6	0.102828525	No	
row_45	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	5225	2.000898575715837E-6	0.086646974	No	
row_46	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5399	1.8498610643291613E-6	0.07957842	No	
row_47	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	5547	1.7458477259424399E-6	0.07373472	No	
row_48	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	5570	1.7276896642215434E-6	0.07422989	No	
row_49	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	5589	1.7055172065738589E-6	0.074907735	No	
row_50	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	5684	1.6260152051472687E-6	0.07164697	No	
row_51	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	5828	1.5209989214781672E-6	0.065796636	No	
row_52	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	6025	1.3745897149419761E-6	0.057114676	No	
row_53	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	6137	1.3046113735981635E-6	0.05268931	No	
