NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4	0.2715812921524048	0.9981085	Yes	
row_1	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	146	2.3829632482375018E-5	0.99105763	No	
row_2	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	507	1.5480138245038688E-5	0.9728885	No	
row_3	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	609	1.4551039384969044E-5	0.9678286	No	
row_4	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	1021	1.146724298450863E-5	0.94706273	No	
row_5	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	1065	1.1228528819628991E-5	0.94492704	No	
row_6	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	1078	1.1166824151587207E-5	0.9443605	No	
row_7	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	1192	1.0526261576160323E-5	0.93867826	No	
row_8	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	1270	1.0090589057654142E-5	0.934817	No	
row_9	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1369	9.64834453043295E-6	0.929891	No	
row_10	GPX8	glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]	1372	9.64322953223018E-6	0.9298252	No	
row_11	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	1668	8.426531167060602E-6	0.9149209	No	
row_12	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	1895	7.707741133344825E-6	0.9035074	No	
row_13	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	2118	7.078658200043719E-6	0.89229405	No	
row_14	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	2201	6.8945646489737555E-6	0.8881679	No	
row_15	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	2377	6.408548870240338E-6	0.8793316	No	
row_16	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2439	6.238759851839859E-6	0.87626624	No	
row_17	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	3201	4.621894277079264E-6	0.8377555	No	
row_18	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	3502	4.112901933694957E-6	0.8225823	No	
row_19	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	3550	4.036090558656724E-6	0.8202176	No	
row_20	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	3793	3.6632745832321234E-6	0.80797917	No	
row_21	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	4130	3.2077655305329245E-6	0.79098004	No	
row_22	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	4634	2.6235227323923027E-6	0.7655239	No	
row_23	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	4979	2.245805717393523E-6	0.7481162	No	
row_24	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	5032	2.189374754379969E-6	0.74549156	No	
row_25	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	5234	1.990820919672842E-6	0.7353227	No	
row_26	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	5487	1.7880972791317618E-6	0.7225711	No	
row_27	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	6637	1.0219445130132954E-6	0.6644035	No	
row_28	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	6657	1.0143075996893458E-6	0.6634453	No	
row_29	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	7298	7.242082347147516E-7	0.6310462	No	
row_30	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	7852	5.283504833641928E-7	0.603051	No	
row_31	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	8403	3.7297093058441533E-7	0.57520705	No	
row_32	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	9021	2.313938267661797E-7	0.5439706	No	
row_33	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	9499	1.394818127664621E-7	0.51982164	No	
row_34	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	11581	-2.7785361567111977E-7	0.41446623	No	
row_35	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	11702	-3.099623029356735E-7	0.40839204	No	
row_36	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	12917	-7.095543992363673E-7	0.34693253	No	
