NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	255	2.0024597688461654E-5	0.004158795	No	
row_1	CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	506	1.548705404275097E-5	0.0046857903	No	
row_2	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	533	1.5262558008544147E-5	0.016433928	No	
row_3	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	797	1.2922912901558448E-5	0.014102262	No	
row_4	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1012	1.1510383046697825E-5	0.013057402	No	
row_5	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	1114	1.0926592040050309E-5	0.017270174	No	
row_6	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	1341	9.742597285367083E-6	0.014099711	No	
row_7	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1479	9.19058766157832E-6	0.014991232	No	
row_8	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	1625	8.563598385080695E-6	0.014938094	No	
row_9	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1869	7.777174687362276E-6	0.009217979	No	
row_10	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1961	7.523789008700987E-6	0.01102566	No	
row_11	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	1992	7.435650786646875E-6	0.015865969	No	
row_12	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	2011	7.35706862542429E-6	0.021250403	No	
row_13	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	2059	7.255554919538554E-6	0.025070256	No	
row_14	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	2163	6.969836249481887E-6	0.025792023	No	
row_15	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	2369	6.427672360587167E-6	0.02085222	No	
