NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	6	0.25152117013931274	0.99542964	Yes	
row_1	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	167	2.284289621456992E-5	0.9873697	No	
row_2	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	213	2.1200998162385076E-5	0.98516136	No	
row_3	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	337	1.8101945897797123E-5	0.9789674	No	
row_4	TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	455	1.623174102860503E-5	0.9730717	No	
row_5	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	465	1.6074904124252498E-5	0.9726769	No	
row_6	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	661	1.4050950085220393E-5	0.96279925	No	
row_7	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	880	1.2253964086994529E-5	0.9517429	No	
row_8	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	931	1.1949723557336256E-5	0.9492432	No	
row_9	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	978	1.1712541891029105E-5	0.9469463	No	
row_10	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1025	1.1447521501395386E-5	0.9446484	No	
row_11	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	1189	1.0562322131590918E-5	0.936387	No	
row_12	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1267	1.0111809388035908E-5	0.9325047	No	
row_13	KAZN	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	1292	9.995756045100279E-6	0.9313217	No	
row_14	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1313	9.88566898740828E-6	0.930342	No	
row_15	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1333	9.773287274583708E-6	0.9294129	No	
row_16	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	1386	9.608516847947612E-6	0.92680204	No	
row_17	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.92546415	No	
row_18	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	1498	9.093151675187983E-6	0.92127216	No	
row_19	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1592	8.727802196517587E-6	0.9165693	No	
row_20	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1929	7.600194749102229E-6	0.8994836	No	
row_21	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	2067	7.242048468469875E-6	0.89253354	No	
row_22	SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]	2110	7.095740329532418E-6	0.89042217	No	
row_23	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	2163	6.969836249481887E-6	0.8878009	No	
row_24	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	2194	6.91472723701736E-6	0.8863	No	
row_25	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	2266	6.698529887216864E-6	0.88270986	No	
row_26	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	2370	6.426608706533443E-6	0.8774885	No	
row_27	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	2428	6.2657895796292E-6	0.8746097	No	
row_28	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	2479	6.131893314886838E-6	0.872087	No	
row_29	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	2628	5.798139227408683E-6	0.86457086	No	
row_30	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	2762	5.50691856915364E-6	0.85781765	No	
row_31	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	3135	4.74495891467086E-6	0.8388868	No	
row_32	INPP5F	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	3194	4.635337518266169E-6	0.8359507	No	
row_33	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	3329	4.389883542899042E-6	0.8291421	No	
row_34	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	3427	4.229369551467244E-6	0.8242177	No	
row_35	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	3439	4.216963134240359E-6	0.823674	No	
row_36	TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	3459	4.184210411040112E-6	0.82272273	No	
row_37	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	3475	4.159539912507171E-6	0.8219751	No	
row_38	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	3635	3.895627287420211E-6	0.8138911	No	
row_39	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	3716	3.7741015148640145E-6	0.80983084	No	
