NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	6	0.25152117013931274	0.995502	Yes	
row_1	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	32	4.94693304062821E-5	0.9944249	No	
row_2	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	167	2.284289621456992E-5	0.9876922	No	
row_3	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	213	2.1200998162385076E-5	0.9854848	No	
row_4	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	337	1.8101945897797123E-5	0.97929335	No	
row_5	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	343	1.7987831597565673E-5	0.97911	No	
row_6	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	437	1.652440187172033E-5	0.9744399	No	
row_7	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	496	1.561170029162895E-5	0.97154844	No	
row_8	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	661	1.4050950085220393E-5	0.9632533	No	
row_9	MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	675	1.3934357411926612E-5	0.96264654	No	
row_10	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	880	1.2253964086994529E-5	0.9523076	No	
row_11	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	931	1.1949723557336256E-5	0.94980896	No	
row_12	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1025	1.1447521501395386E-5	0.9451188	No	
row_13	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	1094	1.1063409147027414E-5	0.9417001	No	
row_14	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	1189	1.0562322131590918E-5	0.9369555	No	
row_15	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1313	9.88566898740828E-6	0.9307316	No	
row_16	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1333	9.773287274583708E-6	0.92980283	No	
row_17	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	1386	9.608516847947612E-6	0.9271931	No	
row_18	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	1491	9.146695447270758E-6	0.9219337	No	
