NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	13	0.184849813580513	0.9932177	Yes	
row_1	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	99	2.6893909307545982E-5	0.989032	No	
row_2	EXT2	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]	111	2.5951512725441717E-5	0.9886111	No	
row_3	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	222	2.08697729249252E-5	0.98311937	No	
row_4	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	252	2.0053346815984696E-5	0.9817498	No	
row_5	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	253	2.004848647629842E-5	0.98185754	No	
row_6	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	269	1.9744460587389767E-5	0.98119956	No	
row_7	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	285	1.9121242075925693E-5	0.9805382	No	
row_8	SLC35A3	solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]	385	1.725820402498357E-5	0.9755874	No	
row_9	GMPPA	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	424	1.678589978837408E-5	0.97374177	No	
row_10	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	461	1.6156143828993663E-5	0.9719946	No	
row_11	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	465	1.6074904124252498E-5	0.9719282	No	
row_12	GFPT1	glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]	466	1.6062293070717715E-5	0.97201455	No	
row_13	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	504	1.5515490304096602E-5	0.970213	No	
row_14	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	533	1.5262558008544147E-5	0.9688686	No	
row_15	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	609	1.4551039384969044E-5	0.965126	No	
row_16	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	627	1.4441854546021204E-5	0.9643376	No	
row_17	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	706	1.3660375770996325E-5	0.9604373	No	
row_18	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	818	1.275310933124274E-5	0.954851	No	
row_19	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1012	1.1510383046697825E-5	0.94508046	No	
row_20	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]	1067	1.1222417015233077E-5	0.9423898	No	
row_21	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1188	1.0566974196990486E-5	0.9363332	No	
row_22	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	1216	1.0387670045020059E-5	0.93501353	No	
row_23	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	1407	9.537139703752473E-6	0.92538524	No	
row_24	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	1547	8.894719030649867E-6	0.9183517	No	
row_25	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1579	8.773683475737926E-6	0.9168196	No	
row_26	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	1597	8.713326678844169E-6	0.91600037	No	
row_27	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	1645	8.505234291078523E-6	0.9136517	No	
row_28	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	1683	8.387780326302163E-6	0.9118118	No	
row_29	NOL3	nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]	1705	8.29254167911131E-6	0.91078657	No	
row_30	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	1777	8.074444849626161E-6	0.90721285	No	
row_31	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1806	7.999456101970281E-6	0.9058294	No	
row_32	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	1821	7.932714652270079E-6	0.9051588	No	
row_33	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	1824	7.924399142211769E-6	0.9050996	No	
row_34	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1968	7.494852070522029E-6	0.89785475	No	
row_35	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	2108	7.1069348450691905E-6	0.89081156	No	
row_36	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	2132	7.042182005534414E-6	0.8896777	No	
row_37	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	2201	6.8945646489737555E-6	0.8862505	No	
row_38	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	2280	6.632658369198907E-6	0.8823125	No	
row_39	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	2339	6.50839319860097E-6	0.8793926	No	
row_40	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	2660	5.734202204621397E-6	0.86312103	No	
row_41	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	2730	5.57640805709525E-6	0.85963583	No	
row_42	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	2779	5.468084509629989E-6	0.8572199	No	
row_43	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	2802	5.415687155618798E-6	0.8561282	No	
row_44	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	2914	5.20029880135553E-6	0.85050124	No	
row_45	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	2938	5.1434553824947216E-6	0.8493572	No	
row_46	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	3141	4.735371476272121E-6	0.8390918	No	
row_47	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	3179	4.666752829507459E-6	0.8372319	No	
row_48	GALK2	galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]	3206	4.619535502570216E-6	0.83593214	No	
row_49	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	3264	4.496290785027668E-6	0.83305246	No	
row_50	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	3311	4.423827704158612E-6	0.83073276	No	
row_51	KIF2A	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	3411	4.2539263631624635E-6	0.8257121	No	
row_52	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	3424	4.2317169572925195E-6	0.8251235	No	
row_53	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	3452	4.192154392512748E-6	0.8237705	No	
row_54	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	3516	4.095300937478896E-6	0.820583	No	
row_55	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	3570	3.991481662524166E-6	0.81790435	No	
row_56	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:HGNC Symbol;Acc:HGNC:30042]	3618	3.918429683835711E-6	0.815531	No	
row_57	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	3728	3.75291006093903E-6	0.8099982	No	
row_58	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	4501	2.762119947874453E-6	0.77068347	No	
row_59	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	4522	2.7397245503379963E-6	0.7696793	No	
row_60	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	4547	2.709278987822472E-6	0.7684712	No	
row_61	ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	4551	2.708253532546223E-6	0.7683329	No	
row_62	CHST4	carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]	4767	2.4634912278997945E-6	0.757393	No	
