NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	27	6.055236008251086E-5	0.047476113	Yes	
row_1	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	78	2.8606255000340752E-5	0.068008885	Yes	
row_2	DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]	145	2.3923435946926475E-5	0.0839493	Yes	
row_3	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	154	2.344498898310121E-5	0.10245628	Yes	
row_4	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	214	2.118664087902289E-5	0.11654512	Yes	
row_5	TCEA1	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	422	1.683384834905155E-5	0.11958825	Yes	
row_6	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	489	1.57252507051453E-5	0.12891477	Yes	
row_7	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	531	1.5270430594682693E-5	0.13914704	Yes	
row_8	TMEM9B	TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]	543	1.512961262051249E-5	0.15079288	Yes	
row_9	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	588	1.4729012946190778E-5	0.16043563	Yes	
row_10	RANBP10	RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285]	601	1.4605263459088746E-5	0.17160754	Yes	
row_11	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]	626	1.444195004296489E-5	0.18203683	Yes	
row_12	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	705	1.3661426237376872E-5	0.1890875	Yes	
row_13	MBOAT2	membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]	709	1.3649184438691009E-5	0.19994625	Yes	
row_14	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	719	1.3572484022006392E-5	0.21043769	Yes	
row_15	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]	735	1.3453896826831624E-5	0.22052802	Yes	
row_16	MKRN1	makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112]	737	1.3439615031529684E-5	0.23131952	Yes	
row_17	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	792	1.297060680371942E-5	0.23903461	Yes	
row_18	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	815	1.2774547940352932E-5	0.24822053	Yes	
row_19	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	828	1.2647547919186763E-5	0.25781307	Yes	
row_20	ERMAP	erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743]	845	1.2464011888368987E-5	0.2670539	Yes	
row_21	VEZF1	vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]	938	1.190217153634876E-5	0.2719726	Yes	
row_22	SIDT2	SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]	976	1.1722386261681095E-5	0.2795461	Yes	
row_23	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	1126	1.0857045708689839E-5	0.28072	Yes	
row_24	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1163	1.0699229278543498E-5	0.28751898	Yes	
row_25	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1169	1.0673610631783959E-5	0.29587537	Yes	
row_26	NFE2L1	NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7781]	1214	1.0404885870229919E-5	0.30202964	Yes	
row_27	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1313	9.88566898740828E-6	0.3050161	Yes	
row_28	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	1463	9.254205906472635E-6	0.30489692	Yes	
row_29	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1479	9.19058766157832E-6	0.31154782	Yes	
row_30	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	1525	8.956121746450663E-6	0.3164824	Yes	
row_31	ALAD	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	1533	8.934640391089488E-6	0.32333407	Yes	
row_32	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1557	8.84566361492034E-6	0.32929945	Yes	
row_33	CAST	calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]	1607	8.665047062095255E-6	0.33379558	Yes	
row_34	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	1619	8.609257747593801E-6	0.3401811	Yes	
row_35	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	1684	8.386781701119617E-6	0.34368914	Yes	
row_36	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	1730	8.250995961134322E-6	0.34805486	Yes	
row_37	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	1793	8.02765953267226E-6	0.35137498	Yes	
row_38	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	1817	7.93702474766178E-6	0.35660735	Yes	
