NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	13	0.184849813580513	0.9929342	Yes	
row_1	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	39	3.90491695725359E-5	0.9918709	No	
row_2	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	214	2.118664087902289E-5	0.98312306	No	
row_3	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	252	2.0053346815984696E-5	0.9813464	No	
row_4	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	253	2.004848647629842E-5	0.9814542	No	
row_5	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	266	1.9814897314063273E-5	0.9809496	No	
row_6	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	285	1.9121242075925693E-5	0.9801356	No	
row_7	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	367	1.7556616512592882E-5	0.9761047	No	
row_8	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	461	1.6156143828993663E-5	0.9714551	No	
row_9	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	533	1.5262558008544147E-5	0.96792114	No	
row_10	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	627	1.4441854546021204E-5	0.9632623	No	
row_11	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	645	1.424337096977979E-5	0.9624731	No	
row_12	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]	787	1.3012122508371249E-5	0.95536196	No	
row_13	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	818	1.275310933124274E-5	0.95390266	No	
row_14	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1025	1.1447521501395386E-5	0.9434727	No	
row_15	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	1146	1.0766276318463497E-5	0.93741906	No	
row_16	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1163	1.0699229278543498E-5	0.93666166	No	
row_17	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	1174	1.0652292075974401E-5	0.9362096	No	
row_18	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1188	1.0566974196990486E-5	0.93560433	No	
row_19	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	1386	9.608516847947612E-6	0.9256229	No	
row_20	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.92429876	No	
row_21	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	1683	8.387780326302163E-6	0.9106947	No	
