NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	6	0.25152117013931274	0.9958449	Yes	
row_1	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	177	2.222236798843369E-5	0.987274	No	
row_2	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	253	2.004848647629842E-5	0.9835333	No	
row_3	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	367	1.7556616512592882E-5	0.9778472	No	
row_4	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	433	1.6607980796834454E-5	0.9746022	No	
row_5	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	727	1.3504640264727641E-5	0.9597319	No	
row_6	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	1009	1.1512745913933031E-5	0.94546485	No	
row_7	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1014	1.149962281488115E-5	0.94530666	No	
row_8	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1025	1.1447521501395386E-5	0.94484264	No	
row_9	WLS	Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	1069	1.1204849215573631E-5	0.9426968	No	
row_10	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1188	1.0566974196990486E-5	0.9367284	No	
row_11	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1241	1.0236177331535146E-5	0.93412036	No	
row_12	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1259	1.0161184036405757E-5	0.93329465	No	
row_13	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1369	9.64834453043295E-6	0.92778105	No	
row_14	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	1381	9.615413546271157E-6	0.9272588	No	
row_15	HYCC2	hyccin PI4KA lipid kinase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28593]	1408	9.530183888273314E-6	0.9259723	No	
row_16	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.92575514	No	
row_17	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	1444	9.347339073428884E-6	0.92431504	No	
row_18	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	1491	9.146695447270758E-6	0.9220083	No	
row_19	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	1576	8.782479198998772E-6	0.91776454	No	
row_20	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:28739]	1662	8.464150596410036E-6	0.9134686	No	
row_21	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	1681	8.398803402087651E-6	0.9125851	No	
row_22	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1818	7.93601884652162E-6	0.90568936	No	
row_23	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1890	7.732006451988127E-6	0.9021036	No	
row_24	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	1895	7.707741133344825E-6	0.9019304	No	
row_25	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	1905	7.682643627049401E-6	0.90150243	No	
row_26	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	1962	7.523041858803481E-6	0.8986799	No	
row_27	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	2208	6.878203748783562E-6	0.88622814	No	
row_28	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	2321	6.550951638928382E-6	0.88054943	No	
row_29	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2417	6.300595487118699E-6	0.8757356	No	
row_30	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	2771	5.493132903211517E-6	0.8577774	No	
row_31	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2913	5.204200988373486E-6	0.8506162	No	
row_32	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	3095	4.844204795517726E-6	0.84141624	No	
row_33	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	3179	4.666752829507459E-6	0.83720714	No	
row_34	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	3285	4.459748652152484E-6	0.83187664	No	
row_35	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	3324	4.397145858092699E-6	0.82995856	No	
row_36	SERPINB6	serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	3395	4.277144398656674E-6	0.82641006	No	
row_37	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	3468	4.171870386926457E-6	0.82275933	No	
row_38	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	3492	4.127356532990234E-6	0.82160413	No	
row_39	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	3559	4.011633791378699E-6	0.81825835	No	
row_40	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	3577	3.982720954809338E-6	0.81740826	No	
row_41	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	3643	3.886471404257463E-6	0.8141129	No	
row_42	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	3728	3.75291006093903E-6	0.8098492	No	
row_43	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	3755	3.7147085549804615E-6	0.8085396	No	
row_44	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	3869	3.558573098416673E-6	0.8027981	No	
row_45	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	3872	3.5518733056960627E-6	0.8027103	No	
row_46	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	3945	3.4446150039002532E-6	0.79905665	No	
row_47	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	4049	3.3130222618638072E-6	0.79382354	No	
row_48	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	4156	3.1767824566486524E-6	0.788437	No	
