NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	87	2.7581394533626735E-5	0.06897301	Yes	
row_1	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	328	1.8220898709842004E-5	0.105293065	Yes	
row_2	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	433	1.6607980796834454E-5	0.1442105	Yes	
row_3	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	504	1.5515490304096602E-5	0.18194354	Yes	
row_4	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	661	1.4050950085220393E-5	0.21142422	Yes	
row_5	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	977	1.1719108442775905E-5	0.2266476	Yes	
row_6	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1164	1.0695147466321941E-5	0.24568072	Yes	
row_7	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	1197	1.0498863048269413E-5	0.27199188	Yes	
row_8	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	1266	1.0126067536475603E-5	0.29548776	Yes	
row_9	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1555	8.855342457536608E-6	0.30445975	Yes	
row_10	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2417	6.300595487118699E-6	0.27761194	Yes	
row_11	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2439	6.238759851839859E-6	0.29314634	Yes	
row_12	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2584	5.880801836610772E-6	0.30149835	Yes	
row_13	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	2920	5.1902939048886765E-6	0.29833895	Yes	
row_14	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	2925	5.177895673114108E-6	0.31191203	Yes	
row_15	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	3342	4.366574557934655E-6	0.30245844	Yes	
row_16	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	3468	4.171870386926457E-6	0.30722624	Yes	
row_17	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	3590	3.95265078623197E-6	0.3116134	Yes	
row_18	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	3634	3.89648312193458E-6	0.31980193	Yes	
row_19	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	3814	3.6336966786620906E-6	0.32040277	Yes	
row_20	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	4357	2.9250659281387925E-6	0.30073208	No	
row_21	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	4737	2.502160214135074E-6	0.28819233	No	
row_22	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4846	2.379742682023789E-6	0.2890533	No	
row_23	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	4964	2.2661465663986746E-6	0.28915617	No	
row_24	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	5138	2.090313273583888E-6	0.2859548	No	
row_25	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5399	1.8498610643291613E-6	0.2777071	No	
row_26	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	5417	1.8362001128480188E-6	0.2817312	No	
row_27	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	5498	1.7810962162911892E-6	0.28241768	No	
row_28	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	5729	1.5948372720231418E-6	0.27501103	No	
row_29	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	6025	1.3745897149419761E-6	0.2637261	No	
row_30	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	6543	1.0725188985816203E-6	0.240393	No	
row_31	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	6969	8.634850132693828E-7	0.22116366	No	
row_32	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	8018	4.823898507311242E-7	0.16936494	No	
row_33	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	8063	4.6953928745097073E-7	0.1683855	No	
row_34	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	8320	3.925894134226837E-7	0.15646335	No	
row_35	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	9024	2.3118964520563168E-7	0.12147087	No	
row_36	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	9151	2.0263384215013502E-7	0.11562797	No	
row_37	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	9163	2.0114937626658502E-7	0.11560596	No	
row_38	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	9370	1.6311646788835787E-7	0.10560585	No	
row_39	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	9695	1.0538019523664843E-7	0.08947533	No	
row_40	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	9900	6.085096515562327E-8	0.07930445	No	
row_41	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	10141	1.8002877411049667E-8	0.06719614	No	
row_42	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	10164	1.3547422739179638E-8	0.06611786	No	
