NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	87	2.7581394533626735E-5	-0.0043162447	No	
row_1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	471	1.6004139979486354E-5	-0.023756584	No	
row_2	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	621	1.449367482564412E-5	-0.03128511	No	
row_3	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	725	1.3530293472285848E-5	-0.036474776	No	
row_4	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	815	1.2774547940352932E-5	-0.040954538	No	
row_5	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	999	1.156262806034647E-5	-0.050226957	No	
row_6	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1014	1.149962281488115E-5	-0.050892126	No	
row_7	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1063	1.125049948313972E-5	-0.053290017	No	
row_8	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	1266	1.0126067536475603E-5	-0.06353613	No	
row_9	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	1285	1.0026064956036862E-5	-0.06441116	No	
row_10	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	1654	8.484402314934414E-6	-0.083118826	No	
row_11	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1671	8.418719517067075E-6	-0.083898686	No	
row_12	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1724	8.26101404527435E-6	-0.08651276	No	
row_13	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1929	7.600194749102229E-6	-0.09687125	No	
row_14	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2417	6.300595487118699E-6	-0.12164893	No	
row_15	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2584	5.880801836610772E-6	-0.13007917	No	
row_16	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2758	5.519400019693421E-6	-0.13886742	No	
row_17	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	2856	5.329655778041342E-6	-0.14378564	No	
row_18	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	2972	5.082464213046478E-6	-0.14962167	No	
row_19	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	2981	5.068738573754672E-6	-0.15000802	No	
row_20	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	3007	5.015328042645706E-6	-0.15126044	No	
row_21	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	3108	4.820703907171264E-6	-0.15633357	No	
row_22	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	3167	4.689254183176672E-6	-0.15926811	No	
row_23	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	3363	4.325798272475367E-6	-0.16918184	No	
row_24	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	3532	4.062634161527967E-6	-0.17772152	No	
row_25	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	3777	3.691243136927369E-6	-0.19013357	No	
row_26	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	3856	3.5703028515854385E-6	-0.1940914	No	
row_27	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	3869	3.558573098416673E-6	-0.19468777	No	
row_28	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	3931	3.4691274777287617E-6	-0.19778018	No	
row_29	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	4376	2.907551106545725E-6	-0.2203819	No	
row_30	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4552	2.7075905109086307E-6	-0.22928374	No	
row_31	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]	4647	2.611786158013274E-6	-0.23406048	No	
row_32	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	4699	2.5511180865578353E-6	-0.23664738	No	
row_33	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4846	2.379742682023789E-6	-0.24407355	No	
row_34	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	4870	2.3555908228445332E-6	-0.24523519	No	
row_35	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	4962	2.268349589940044E-6	-0.24986055	No	
row_36	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	4971	2.254724449812784E-6	-0.25025862	No	
row_37	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	5029	2.19379467125691E-6	-0.2531526	No	
row_38	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	5050	2.1757170998171205E-6	-0.2541622	No	
row_39	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	5083	2.146224005628028E-6	-0.25578308	No	
row_40	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	5086	2.14351393879042E-6	-0.25587603	No	
row_41	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	5246	1.980956540137413E-6	-0.263966	No	
row_42	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	5254	1.97399640455842E-6	-0.2643143	No	
