NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	328	1.8220898709842004E-5	0.02007036	Yes	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	621	1.449367482564412E-5	0.03445891	Yes	
row_2	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	893	1.2144185348006431E-5	0.045180067	Yes	
row_3	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	1103	1.1022187209164258E-5	0.05678439	Yes	
row_4	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	1258	1.0162511898670346E-5	0.06944537	Yes	
row_5	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	1273	1.0078730156237725E-5	0.08903448	Yes	
row_6	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1343	9.740029781823978E-6	0.10515338	Yes	
row_7	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1369	9.64834453043295E-6	0.123318076	Yes	
row_8	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	1371	9.645697900850791E-6	0.14269404	Yes	
row_9	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	1375	9.642635632189922E-6	0.16196246	Yes	
row_10	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1480	9.17925081012072E-6	0.17517772	Yes	
row_11	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	1508	9.047452294907998E-6	0.19203083	Yes	
row_12	NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]	1581	8.771567991061602E-6	0.20604715	Yes	
row_13	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	1623	8.590934157837182E-6	0.22127111	Yes	
row_14	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	1716	8.273952516901772E-6	0.23327139	Yes	
row_15	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	1731	8.248415724665392E-6	0.2491742	Yes	
row_16	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1813	7.95050618762616E-6	0.26108065	Yes	
row_17	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	1871	7.773812285449822E-6	0.27384788	Yes	
row_18	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	2353	6.466617833211785E-6	0.26248896	Yes	
