NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	0	1.0073764324188232	0.56989914	Yes	
row_1	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	1	0.7592852115631104	0.99944663	Yes	
row_2	EIF4E3	eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]	211	2.12413306144299E-5	0.98881274	No	
row_3	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	328	1.8220898709842004E-5	0.9829143	No	
row_4	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	431	1.667705873842351E-5	0.9777281	No	
row_5	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	437	1.652440187172033E-5	0.9774828	No	
row_6	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	570	1.4861841009405907E-5	0.9707675	No	
row_7	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	621	1.449367482564412E-5	0.9682289	No	
row_8	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	919	1.2004756172245834E-5	0.9531073	No	
row_9	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1063	1.125049948313972E-5	0.94582963	No	
row_10	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	1216	1.0387670045020059E-5	0.938093	No	
row_11	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	1258	1.0162511898670346E-5	0.93601036	No	
row_12	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	1273	1.0078730156237725E-5	0.9353029	No	
row_13	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1343	9.740029781823978E-6	0.93179375	No	
row_14	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1369	9.64834453043295E-6	0.9305258	No	
row_15	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	1375	9.642635632189922E-6	0.9302766	No	
row_16	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1480	9.17925081012072E-6	0.9249843	No	
row_17	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1555	8.855342457536608E-6	0.92121994	No	
row_18	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	1623	8.590934157837182E-6	0.917812	No	
