NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4	0.2715812921524048	0.31503937	Yes	
row_1	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	6	0.25152117013931274	0.6069464	Yes	
row_2	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	10	0.20785899460315704	0.84806985	Yes	
row_3	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	18	0.12930364906787872	0.9978048	Yes	
row_4	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	103	2.6427345801494084E-5	0.99355525	No	
row_5	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	213	2.1200998162385076E-5	0.9880257	No	
row_6	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	228	2.066546403511893E-5	0.98733634	No	
row_7	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	252	2.0053346815984696E-5	0.98618764	No	
row_8	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	257	1.9976499970653094E-5	0.98600703	No	
row_9	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	285	1.9121242075925693E-5	0.9846534	No	
row_10	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	387	1.723964487609919E-5	0.97952694	No	
row_11	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	407	1.705372596916277E-5	0.97857857	No	
row_12	TCEA1	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	422	1.683384834905155E-5	0.9778847	No	
row_13	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	446	1.6391601093346253E-5	0.9767318	No	
row_14	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	461	1.6156143828993663E-5	0.97603714	No	
row_15	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	492	1.565334059705492E-5	0.9745267	No	
row_16	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	508	1.5454193999175914E-5	0.9737803	No	
row_17	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	516	1.5397621609736234E-5	0.9734415	No	
row_18	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	536	1.5240261745930184E-5	0.972491	No	
row_19	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	627	1.4441854546021204E-5	0.9679218	No	
row_20	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	801	1.289981446461752E-5	0.95912147	No	
row_21	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	818	1.275310933124274E-5	0.958321	No	
row_22	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1012	1.1510383046697825E-5	0.9485	No	
row_23	SDF2L1	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	1019	1.1472627193143126E-5	0.94820756	No	
row_24	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1063	1.125049948313972E-5	0.9460295	No	
row_25	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	1078	1.1166824151587207E-5	0.94532907	No	
row_26	UCHL5	ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]	1138	1.0805235433508642E-5	0.94233525	No	
row_27	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1188	1.0566974196990486E-5	0.93985075	No	
row_28	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	1192	1.0526261576160323E-5	0.9397101	No	
row_29	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	1270	1.0090589057654142E-5	0.9357982	No	
row_30	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	1406	9.54589995671995E-6	0.92893034	No	
row_31	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.92858464	No	
row_32	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	1423	9.438508641324006E-6	0.92818797	No	
row_33	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1483	9.173034413834102E-6	0.92519224	No	
row_34	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1557	8.84566361492034E-6	0.92148274	No	
row_35	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1579	8.773683475737926E-6	0.92042285	No	
row_36	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	1668	8.426531167060602E-6	0.91594857	No	
row_37	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	1676	8.408054782194085E-6	0.9156016	No	
row_38	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1959	7.530180027970346E-6	0.90124094	No	
row_39	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	1987	7.4520212365314364E-6	0.8998738	No	
row_40	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	1991	7.443074991897447E-6	0.89972955	No	
row_41	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	2016	7.346498932747636E-6	0.89851516	No	
row_42	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	2058	7.25615336705232E-6	0.8964344	No	
row_43	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	2065	7.245808774314355E-6	0.8961371	No	
row_44	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	2094	7.143793482100591E-6	0.89471865	No	
row_45	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	2239	6.780684998375364E-6	0.88738894	No	
