NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4	0.2715812921524048	0.62549824	Yes	
row_1	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	125	2.5045770598808303E-5	0.6194485	No	
row_2	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	161	2.2998956410447136E-5	0.6177201	No	
row_3	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	184	2.199166192440316E-5	0.61665106	No	
row_4	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	222	2.08697729249252E-5	0.614816	No	
row_5	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	284	1.9170864106854424E-5	0.61175555	No	
row_6	GABARAPL2	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	428	1.6741158106015064E-5	0.604516	No	
row_7	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	810	1.2833724213123787E-5	0.5851543	No	
row_8	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	859	1.2340654393483419E-5	0.5827397	No	
row_9	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	991	1.1628570973698515E-5	0.57609916	No	
row_10	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	1114	1.0926592040050309E-5	0.56991506	No	
row_11	PKIA	cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]	1181	1.0610699064272922E-5	0.5665804	No	
row_12	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.55479443	No	
row_13	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	1458	9.282178325520363E-6	0.55262727	No	
row_14	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1479	9.19058766157832E-6	0.55163056	No	
row_15	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1758	8.156930562108755E-6	0.5375003	No	
row_16	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	2321	6.550951638928382E-6	0.50891197	No	
row_17	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	2479	6.131893314886838E-6	0.5009355	No	
row_18	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	2522	6.026035862305434E-6	0.49881172	No	
row_19	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	2920	5.1902939048886765E-6	0.47861806	No	
row_20	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	3078	4.8893903112912085E-6	0.4706387	No	
