NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	129	2.4785327696008608E-5	0.011410988	No	
row_1	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	156	2.3439286451321095E-5	0.027093945	No	
row_2	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	174	2.2437447114498354E-5	0.042508572	No	
row_3	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	234	2.0479066733969375E-5	0.05436194	No	
row_4	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	320	1.830303699534852E-5	0.06331144	No	
row_5	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	526	1.528458778921049E-5	0.063955754	No	
row_6	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	579	1.4772153917874675E-5	0.072024815	No	
row_7	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	631	1.442163556930609E-5	0.07989049	No	
row_8	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	719	1.3572484022006392E-5	0.08530552	No	
row_9	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	823	1.2671952390519436E-5	0.08925179	No	
row_10	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	828	1.2647547919186763E-5	0.098225184	No	
row_11	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	919	1.2004756172245834E-5	0.10234978	No	
row_12	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	970	1.1756399544537999E-5	0.10833248	No	
row_13	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	1000	1.1560218808881473E-5	0.11524295	No	
row_14	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	1125	1.0858568202820607E-5	0.11680328	No	
row_15	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	1126	1.0857045708689839E-5	0.1246813	No	
row_16	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]	1376	9.642143595556263E-6	0.11898923	No	
row_17	RHOT1	ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]	1387	9.60583747655619E-6	0.12544978	No	
row_18	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	1451	9.316334399045445E-6	0.12899947	No	
row_19	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	1495	9.11283859750256E-6	0.13342068	No	
row_20	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	1497	9.095327186514623E-6	0.13996941	No	
row_21	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	1531	8.941698979469948E-6	0.14477602	No	
row_22	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1579	8.773683475737926E-6	0.1487473	No	
row_23	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	1619	8.609257747593801E-6	0.15300693	No	
row_24	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	1687	8.368656381207984E-6	0.15566516	No	
row_25	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	1709	8.282011549454182E-6	0.16060458	No	
row_26	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1818	7.93601884652162E-6	0.16085958	No	
row_27	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	1942	7.556610853498569E-6	0.16007493	No	
row_28	ATP5PB	ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]	1955	7.537863893958274E-6	0.16493301	No	
