NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	87	2.7581394533626735E-5	-0.004273636	No	
row_1	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	107	2.6181940484093502E-5	-0.005090891	No	
row_2	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	114	2.5739749617059715E-5	-0.005248373	No	
row_3	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	214	2.118664087902289E-5	-0.0101702	No	
row_4	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	223	2.086465792672243E-5	-0.010457647	No	
row_5	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	252	2.0053346815984696E-5	-0.011768718	No	
row_6	CDKN2AIP	CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325]	371	1.749053262756206E-5	-0.017679831	No	
row_7	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	395	1.7129226762335747E-5	-0.018753	No	
row_8	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	492	1.565334059705492E-5	-0.023553845	No	
row_9	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	590	1.4700080100737978E-5	-0.028411124	No	
row_10	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	948	1.186679037346039E-5	-0.0465311	No	
row_11	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1014	1.149962281488115E-5	-0.049776483	No	
row_12	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	1068	1.1218476174690295E-5	-0.052412115	No	
row_13	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	1189	1.0562322131590918E-5	-0.058465015	No	
row_14	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1259	1.0161184036405757E-5	-0.061921895	No	
row_15	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1267	1.0111809388035908E-5	-0.062220305	No	
row_16	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	1359	9.68226322584087E-6	-0.066800795	No	
row_17	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	1388	9.598554242984392E-6	-0.06817206	No	
row_18	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	1482	9.173343642032705E-6	-0.07285737	No	
row_19	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	1536	8.933311619330198E-6	-0.07550616	No	
row_20	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	1561	8.830968909023795E-6	-0.07667805	No	
row_21	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1577	8.782108125160448E-6	-0.07739171	No	
row_22	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	1613	8.622453606221825E-6	-0.079125226	No	
row_23	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	1625	8.563598385080695E-6	-0.07963634	No	
row_24	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	1638	8.535326742276084E-6	-0.08019857	No	
row_25	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	1668	8.426531167060602E-6	-0.08162753	No	
row_26	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1724	8.26101404527435E-6	-0.08438209	No	
row_27	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1749	8.176215487765148E-6	-0.08555775	No	
row_28	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	1816	7.94228799350094E-6	-0.08887456	No	
row_29	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	1863	7.79400761530269E-6	-0.09117328	No	
row_30	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1961	7.523789008700987E-6	-0.09607188	No	
row_31	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	2088	7.160286259022541E-6	-0.10245005	No	
row_32	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	2285	6.6279467318963725E-6	-0.112397626	No	
row_33	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	2292	6.621714874199824E-6	-0.112665184	No	
row_34	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	2527	6.008237050991738E-6	-0.12455234	No	
