NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	257	1.9976499970653094E-5	-0.012915715	No	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	266	1.9814897314063273E-5	-0.013207503	No	
row_2	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	328	1.8220898709842004E-5	-0.016195666	No	
row_3	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	407	1.705372596916277E-5	-0.020052472	No	
row_4	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	469	1.6046589735196903E-5	-0.023053125	No	
row_5	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	652	1.4194200048223138E-5	-0.03219939	No	
row_6	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	764	1.320525370829273E-5	-0.037751477	No	
row_7	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	1161	1.0702521649363916E-5	-0.057768077	No	
row_8	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	1263	1.014297959045507E-5	-0.06283073	No	
row_9	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1483	9.173034413834102E-6	-0.07388183	No	
row_10	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	1638	8.535326742276084E-6	-0.08164094	No	
row_11	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	1668	8.426531167060602E-6	-0.083062895	No	
row_12	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	1676	8.408054782194085E-6	-0.08336951	No	
row_13	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	1896	7.704201379965525E-6	-0.09442904	No	
row_14	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	1933	7.582980288134422E-6	-0.096210755	No	
