NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	17	0.12961353361606598	0.9924432	Yes	
row_1	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	48	3.518678931868635E-5	0.9911923	No	
row_2	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	78	2.8606255000340752E-5	0.9899416	No	
row_3	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	134	2.4364437194890343E-5	0.9873405	No	
row_4	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	141	2.4132068574544974E-5	0.98722136	No	
row_5	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	179	2.22093949560076E-5	0.98551613	No	
row_6	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	182	2.2033344066585414E-5	0.9855836	No	
row_7	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	209	2.1298572391970083E-5	0.984429	No	
row_8	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	345	1.7974591173697263E-5	0.977724	No	
row_9	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	374	1.7396934708813205E-5	0.9764381	No	
row_10	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	423	1.6824360500322655E-5	0.9741341	No	
row_11	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	438	1.651883212616667E-5	0.9735511	No	
