NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	125	2.5045770598808303E-5	0.05513225	Yes	
row_1	SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	183	2.2030661057215184E-5	0.10631211	Yes	
row_2	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	188	2.179666807933245E-5	0.15960476	Yes	
row_3	STRBP	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	197	2.1526444470509887E-5	0.21203141	Yes	
row_4	TOPBP1	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]	436	1.6579402654315345E-5	0.24065563	Yes	
row_5	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	469	1.6046589735196903E-5	0.2784163	Yes	
row_6	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	977	1.1719108442775905E-5	0.28147373	Yes	
row_7	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	1084	1.1116497262264602E-5	0.30338272	Yes	
row_8	SIRT1	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	1122	1.0883015420404263E-5	0.32821697	Yes	
row_9	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	1314	9.883441634883638E-6	0.34279022	Yes	
row_10	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1577	8.782108125160448E-6	0.35106078	Yes	
row_11	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	1650	8.494831490679644E-6	0.36825925	Yes	
row_12	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]	1918	7.632640517840628E-6	0.3734552	Yes	
row_13	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	1943	7.555199772468768E-6	0.39078107	Yes	
row_14	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	2229	6.834348369011423E-6	0.39310518	Yes	
row_15	GMCL1	germ cell-less 1, spermatogenesis associated [Source:HGNC Symbol;Acc:HGNC:23843]	2343	6.498393304354977E-6	0.4033251	Yes	
row_16	ZC3H14	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]	2844	5.344091277947882E-6	0.39109126	Yes	
row_17	TSN	translin [Source:HGNC Symbol;Acc:HGNC:12379]	3069	4.900405656371731E-6	0.39176157	Yes	
row_18	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	3094	4.845390776608838E-6	0.4024368	Yes	
row_19	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	3233	4.567043106362689E-6	0.4066491	Yes	
row_20	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	3240	4.541307134786621E-6	0.41749063	Yes	
row_21	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	3824	3.6230317164154258E-6	0.39682472	No	
row_22	IFT88	intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]	3986	3.400095010874793E-6	0.3970069	No	
row_23	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	3994	3.390624669918907E-6	0.4049736	No	
row_24	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	4055	3.3031226394086843E-6	0.41003844	No	
row_25	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	4348	2.9318719043658348E-6	0.40242982	No	
