NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	372	1.7475807908340357E-5	-0.001558757	No	
row_1	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	465	1.6074904124252498E-5	0.009751546	No	
row_2	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	533	1.5262558008544147E-5	0.02152695	No	
row_3	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	612	1.4538223695126362E-5	0.032021202	No	
row_4	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	661	1.4050950085220393E-5	0.043558743	No	
row_5	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1014	1.149962281488115E-5	0.037071645	No	
row_6	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1063	1.125049948313972E-5	0.04582235	No	
row_7	KLF9	KLF transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]	1129	1.0849847967620008E-5	0.05330837	No	
row_8	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	1258	1.0162511898670346E-5	0.056901187	No	
row_9	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1414	9.474736543779727E-6	0.058434196	No	
row_10	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1483	9.173034413834102E-6	0.06409873	No	
row_11	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1575	8.785982572590001E-6	0.06820648	No	
row_12	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1609	8.654708835820202E-6	0.07513811	No	
row_13	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1724	8.26101404527435E-6	0.07755183	No	
row_14	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1903	7.692962753935717E-6	0.076140106	No	
row_15	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1961	7.523789008700987E-6	0.080723755	No	
row_16	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	2046	7.285248102562036E-6	0.083694644	No	
row_17	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	2132	7.042182005534414E-6	0.08637271	No	
row_18	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	2504	6.06315370532684E-6	0.07350771	No	
row_19	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	2856	5.329655778041342E-6	0.06093158	No	
row_20	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	2910	5.212658379605273E-6	0.06341909	No	
row_21	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2913	5.204200988373486E-6	0.068496116	No	
row_22	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	3317	4.407716915011406E-6	0.05235365	No	
row_23	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	3427	4.229369551467244E-6	0.05101002	No	
row_24	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	3635	3.895627287420211E-6	0.044342168	No	
row_25	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	3636	3.8925691114855E-6	0.048215814	No	
row_26	SIK1	salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]	3682	3.832324637187412E-6	0.04973722	No	
row_27	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	3835	3.6063379411643837E-6	0.045583174	No	
row_28	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	4299	3.001016011694446E-6	0.024984455	No	
row_29	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	4355	2.9256768812047085E-6	0.02509422	No	
row_30	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	4376	2.907551106545725E-6	0.026968842	No	
row_31	REL	REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]	4407	2.877781298593618E-6	0.028304439	No	
row_32	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4552	2.7075905109086307E-6	0.023663532	No	
row_33	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	4646	2.613271362861269E-6	0.021526696	No	
row_34	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4846	2.379742682023789E-6	0.0137578435	No	
row_35	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	4948	2.2829556201031664E-6	0.010884779	No	
row_36	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	4971	2.254724449812784E-6	0.012007867	No	
row_37	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	5041	2.1818150344188325E-6	0.010664228	No	
row_38	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	5086	2.14351393879042E-6	0.0105559705	No	
row_39	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	5276	1.964504463103367E-6	0.002883296	No	
row_40	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	5310	1.929900690811337E-6	0.0031228017	No	
row_41	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5399	1.8498610643291613E-6	4.8096504E-4	No	
row_42	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	5408	1.8441778593114577E-6	0.0019086603	No	
row_43	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	5417	1.8362001128480188E-6	0.0033284165	No	
row_44	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	6025	1.3745897149419761E-6	-0.026224159	No	
row_45	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	6125	1.3109262226862484E-6	-0.02996265	No	
row_46	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	6137	1.3046113735981635E-6	-0.029224716	No	
row_47	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	6147	1.2942605280841235E-6	-0.028395206	No	
row_48	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	6166	1.2851144219894195E-6	-0.028033255	No	
row_49	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	6202	1.269295125894132E-6	-0.028553024	No	
row_50	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	6324	1.2004086329397978E-6	-0.03352217	No	
row_51	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	6550	1.0693033800635021E-6	-0.04391953	No	
row_52	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	6796	9.533056868349377E-7	-0.055451117	No	
row_53	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	6975	8.59546503306774E-7	-0.06366304	No	
row_54	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	7003	8.448033668173593E-7	-0.06419772	No	
row_55	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	7156	7.805862765053462E-7	-0.07116378	No	
row_56	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	7382	6.957628784221015E-7	-0.081932865	No	
row_57	RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	7871	5.231041768638534E-7	-0.10627095	No	
row_58	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	8024	4.801174782187445E-7	-0.11353602	No	
row_59	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	8321	3.925571547824802E-7	-0.12822357	No	
row_60	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	8403	3.7297093058441533E-7	-0.13197853	No	
row_61	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	8582	3.2913351333263563E-7	-0.1407183	No	
row_62	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	8713	2.990983034578676E-7	-0.14704283	No	
row_63	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	9021	2.313938267661797E-7	-0.16245109	No	
row_64	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	9038	2.2782553799061134E-7	-0.1630394	No	
row_65	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	9146	2.04000400572113E-7	-0.16828696	No	
row_66	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	9593	1.2379840086396143E-7	-0.19088294	No	
row_67	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	9689	1.069595541025592E-7	-0.19561578	No	
row_68	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	9779	8.476045820771105E-8	-0.20006508	No	
row_69	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	9849	7.151376735237136E-8	-0.20350876	No	
row_70	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	10453	-3.7939447139478943E-8	-0.23418774	No	
row_71	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	10755	-9.787016352902356E-8	-0.24942322	No	
row_72	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	11232	-1.993294773683374E-7	-0.27347222	No	
row_73	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	11250	-2.0316120696861617E-7	-0.27413604	No	
row_74	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	11354	-2.2867418181249377E-7	-0.27915528	No	
row_75	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	11514	-2.6198850378023053E-7	-0.286994	No	
row_76	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	11702	-3.099623029356735E-7	-0.2962113	No	
row_77	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	11733	-3.1811990197638806E-7	-0.29742292	No	
row_78	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	11985	-3.8731587892471E-7	-0.3098234	No	
row_79	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	11989	-3.879231655901094E-7	-0.30959016	No	
row_80	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	12128	-4.323858320276486E-7	-0.3161896	No	
row_81	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	12143	-4.363345453839429E-7	-0.3164685	No	
row_82	KLF2	KLF transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	12226	-4.6545346776838414E-7	-0.32018238	No	
row_83	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	12257	-4.73624226060565E-7	-0.32123926	No	
row_84	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	12330	-4.979984851161134E-7	-0.32441136	No	
row_85	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	12408	-5.193090260036115E-7	-0.32781693	No	
row_86	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	12610	-5.963129865449446E-7	-0.33746243	No	
row_87	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	12687	-6.228361257853976E-7	-0.34071407	No	
row_88	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	12992	-7.396592422992398E-7	-0.3554637	No	
row_89	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	13075	-7.801100991855492E-7	-0.35886446	No	
row_90	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	13165	-8.28345719128265E-7	-0.36257377	No	
row_91	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	13342	-9.321706215814629E-7	-0.37061155	No	
row_92	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	13372	-9.488268801760569E-7	-0.3711446	No	
row_93	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	13483	-1.0001328973885393E-6	-0.3757527	No	
row_94	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	13605	-1.0654222251105239E-6	-0.3808562	No	
row_95	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	13680	-1.1027990467482596E-6	-0.3835283	No	
row_96	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	13690	-1.1069771517213667E-6	-0.38288516	No	
row_97	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	13878	-1.221535399054119E-6	-0.3911953	No	
row_98	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	14018	-1.3066124893157394E-6	-0.39697567	No	
row_99	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	14168	-1.4109645007920335E-6	-0.40316162	No	
row_100	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	14208	-1.4445754459302407E-6	-0.40371072	No	
row_101	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	14238	-1.4630458053943585E-6	-0.40373203	No	
row_102	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	14515	-1.6850295878612087E-6	-0.4161146	No	
row_103	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	14570	-1.7355471300106728E-6	-0.41713822	No	
row_104	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	14618	-1.7812662918004207E-6	-0.4177598	No	
row_105	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	14765	-1.926471895785653E-6	-0.4232799	No	
row_106	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	14855	-2.012466893575038E-6	-0.42581087	No	
