NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	2	0.5945872664451599	0.50238097	Yes	
row_1	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	6	0.25152117013931274	0.7147879	Yes	
row_2	SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	11	0.20710362493991852	0.88960713	Yes	
row_3	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	18	0.12930364906787872	0.9985765	Yes	
row_4	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	96	2.6924884878098965E-5	0.99469304	No	
row_5	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	103	2.6427345801494084E-5	0.994411	No	
row_6	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	228	2.066546403511893E-5	0.98813784	No	
row_7	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	252	2.0053346815984696E-5	0.986988	No	
row_8	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	257	1.9976499970653094E-5	0.986802	No	
row_9	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	285	1.9121242075925693E-5	0.9854484	No	
row_10	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	290	1.9041577616008E-5	0.98526156	No	
row_11	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	395	1.7129226762335747E-5	0.9800001	No	
row_12	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	461	1.6156143828993663E-5	0.9767162	No	
row_13	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	533	1.5262558008544147E-5	0.9731273	No	
row_14	EXOC2	exocyst complex component 2 [Source:HGNC Symbol;Acc:HGNC:24968]	625	1.4450009985012002E-5	0.968523	No	
row_15	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	759	1.3251436939754058E-5	0.96178705	No	
row_16	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	783	1.3065999155514874E-5	0.9606313	No	
row_17	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	873	1.2285800039535388E-5	0.95612663	No	
