NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	268	1.9779290596488863E-5	0.0060838778	No	
row_1	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	333	1.8163851564168E-5	0.020928264	No	
row_2	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	446	1.6391601093346253E-5	0.031566836	No	
row_3	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	661	1.4050950085220393E-5	0.034688238	No	
row_4	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	698	1.3698680049856193E-5	0.04650705	No	
row_5	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	712	1.3617175682156812E-5	0.059413824	No	
row_6	NPTXR	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	1260	1.0159478733839933E-5	0.04173031	No	
row_7	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	1290	1.0003930583479814E-5	0.050223652	No	
row_8	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1479	9.19058766157832E-6	0.04982406	No	
row_9	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1483	9.173034413834102E-6	0.058811206	No	
row_10	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	1530	8.942712156567723E-6	0.065383025	No	
row_11	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1592	8.727802196517587E-6	0.0709782	No	
row_12	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1609	8.654708835820202E-6	0.07878807	No	
row_13	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	1820	7.934122550068423E-6	0.07601825	No	
row_14	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	1886	7.742499292362481E-6	0.08042838	No	
row_15	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	1986	7.4546323958202265E-6	0.08282334	No	
row_16	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	2315	6.559809207828948E-6	0.07268584	No	
row_17	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	2557	5.926613994233776E-6	0.06633996	No	
row_18	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	2769	5.493884600582533E-6	0.061087947	No	
row_19	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	2775	5.479210358316777E-6	0.066293046	No	
row_20	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	2794	5.432670604932355E-6	0.07079094	No	
row_21	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	2890	5.2643522394646425E-6	0.071206935	No	
row_22	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3599	3.939833732147235E-6	0.039142188	No	
row_23	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	3693	3.8151238186401315E-6	0.038215894	No	
row_24	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	3704	3.795124030148145E-6	0.04148887	No	
