NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	101	2.6732192054623738E-5	-0.0050606546	No	
row_1	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	296	1.8867938706534915E-5	-0.014876826	No	
row_2	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	488	1.5728281141491607E-5	-0.024549592	No	
row_3	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	520	1.5349620298366062E-5	-0.02608181	No	
row_4	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	546	1.5081856872711796E-5	-0.027309503	No	
row_5	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	792	1.297060680371942E-5	-0.039738208	No	
row_6	SSR3	signal sequence receptor subunit 3 [Source:HGNC Symbol;Acc:HGNC:11325]	960	1.1812831871793605E-5	-0.048201263	No	
row_7	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	1123	1.0881658454309218E-5	-0.056412634	No	
row_8	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	1175	1.065001924871467E-5	-0.058976404	No	
row_9	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	1272	1.0086324436997529E-5	-0.06383169	No	
row_10	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1313	9.88566898740828E-6	-0.06583797	No	
row_11	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]	1443	9.347620107291732E-6	-0.07237464	No	
row_12	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	1525	8.956121746450663E-6	-0.07646997	No	
row_13	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1579	8.773683475737926E-6	-0.07914104	No	
row_14	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	1702	8.301001798827201E-6	-0.0853246	No	
row_15	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1806	7.999456101970281E-6	-0.09054223	No	
row_16	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	1901	7.694840860494878E-6	-0.09530278	No	
row_17	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1968	7.494852070522029E-6	-0.09863913	No	
row_18	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	2142	7.013729828031501E-6	-0.107421644	No	
row_19	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	2229	6.834348369011423E-6	-0.11177765	No	
row_20	AP4B1	adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572]	2284	6.628188202739693E-6	-0.11450593	No	
row_21	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	2315	6.559809207828948E-6	-0.11601316	No	
row_22	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	2339	6.50839319860097E-6	-0.11716435	No	
row_23	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2584	5.880801836610772E-6	-0.12956306	No	
row_24	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	2920	5.1902939048886765E-6	-0.14659438	No	
row_25	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	2960	5.09745495946845E-6	-0.14856389	No	
row_26	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	2970	5.085029442852829E-6	-0.14900687	No	
row_27	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	3095	4.844204795517726E-6	-0.15530239	No	
row_28	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	3387	4.286937382858014E-6	-0.17009741	No	
row_29	MCCC2	methylcrotonyl-CoA carboxylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:6937]	3405	4.259995421307394E-6	-0.1709499	No	
row_30	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	3543	4.0473119042871986E-6	-0.17790928	No	
row_31	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	3609	3.9276451389014255E-6	-0.18120526	No	
row_32	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	3643	3.886471404257463E-6	-0.18287303	No	
row_33	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	3675	3.84805207431782E-6	-0.18443914	No	
row_34	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	3743	3.728693400262273E-6	-0.18783747	No	
row_35	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	3775	3.692591235449072E-6	-0.18940404	No	
row_36	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	3781	3.6847366118308855E-6	-0.1896476	No	
row_37	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	3829	3.6168416954751592E-6	-0.19202857	No	
