NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
XAF1	1	ENSG00000132530	
OAS2	1	ENSG00000111335	
DNAJB9	1	ENSG00000128590	
SMG1P1	1	ENSG00000237296	
SCD	1	ENSG00000099194	
CTTNBP2	1	ENSG00000077063	
XBP1	1	ENSG00000100219	
PDE11A	1	ENSG00000128655	
SLC33A1	1	ENSG00000169359	
CREB3L2	1	ENSG00000182158	
CANX	1	ENSG00000127022	
SPCS3	1	ENSG00000129128	
ATP8A1	1	ENSG00000124406	
ZNF292	1	ENSG00000188994	
EPHA7	1	ENSG00000135333	
ZNF84	1	ENSG00000198040	
SMIM14	1	ENSG00000163683	
TMED10	1	ENSG00000170348	
SSR1	1	ENSG00000124783	
ATXN2L	1	ENSG00000168488	
MTURN	1	ENSG00000180354	
GTF2E1	1	ENSG00000153767	
DNAAF4	1	ENSG00000256061	
ANAPC5	1	ENSG00000089053	
TMEM161B	1	ENSG00000164180	
DDX24	1	ENSG00000089737	
FBXW4	1	ENSG00000107829	
ARL2BP	1	ENSG00000102931	
ZMYND11	1	ENSG00000015171	
CALM1	1	ENSG00000198668	
DDX42	1	ENSG00000198231	
MTDH	1	ENSG00000147649	
UNC13B	1	ENSG00000198722	
RPL10P9	1	ENSG00000233913	
SNX29	1	ENSG00000048471	
RBM14	1	ENSG00000239306	
SUPT6H	1	ENSG00000109111	
CD164	1	ENSG00000135535	
KDELR2	1	ENSG00000136240	
KLHL24	1	ENSG00000114796	
KPNA6	1	ENSG00000025800	
SURF4	1	ENSG00000148248	
PCMTD1	1	ENSG00000168300	
PPP1R15B	1	ENSG00000158615	
MAP3K2	1	ENSG00000169967	
PANK3	1	ENSG00000120137	
TOP2B	1	ENSG00000077097	
EXOG	1	ENSG00000157036	
TMED2	1	ENSG00000086598	
NR1D2	1	ENSG00000174738	
PRRC1	1	ENSG00000164244	
TTC3P1	1	ENSG00000215105	
MED13	1	ENSG00000108510	
CPD	1	ENSG00000108582	
SETD7	1	ENSG00000145391	
NHLRC2	1	ENSG00000196865	
ACAP2	1	ENSG00000114331	
LNPK	1	ENSG00000144320	
GOLGB1	1	ENSG00000173230	
BBX	1	ENSG00000114439	
DYNLT1	1	ENSG00000146425	
POLD2P1	1	ENSG00000213730	
NELFE	1	ENSG00000204356	
PPP1R3B	1	ENSG00000173281	
RAB10	1	ENSG00000084733	
PTGES3P1	1	ENSG00000234518	
OIP5-AS1	1	ENSG00000247556	
ERLIN2	1	ENSG00000147475	
SARAF	1	ENSG00000133872	
SESTD1	1	ENSG00000187231	
MAN1A2	1	ENSG00000198162	
CHD9	1	ENSG00000177200	
ADNP	1	ENSG00000101126	
EHMT2	1	ENSG00000204371	
ZNF252P	1	ENSG00000196922	
FGD5-AS1	1	ENSG00000225733	
ERG28	1	ENSG00000133935	
GOPC	1	ENSG00000047932	
LAMP2	1	ENSG00000005893	
LAMTOR3	1	ENSG00000109270	
PCM1	1	ENSG00000078674	
ZNF264	1	ENSG00000083844	
SNX13	1	ENSG00000071189	
SBF2	1	ENSG00000133812	
WASHC4	1	ENSG00000136051	
SMCHD1	1	ENSG00000101596	
KCMF1	1	ENSG00000176407	
ACVR1B	1	ENSG00000135503	
ENPP5	1	ENSG00000112796	
MIA3	1	ENSG00000154305	
BTBD7	1	ENSG00000011114	
LONRF2	1	ENSG00000170500	
PURB	1	ENSG00000146676	
OSBP	1	ENSG00000110048	
FAM111A	1	ENSG00000166801	
TMED7	1	ENSG00000134970	
HERPUD1	1	ENSG00000051108	
NDFIP1	1	ENSG00000131507	
CMTM4	1	ENSG00000183723	
HS2ST1	1	ENSG00000153936	
VPS41	1	ENSG00000006715	
MARCHF6	1	ENSG00000145495	
ZMYM2	1	ENSG00000121741	
SERP1	1	ENSG00000120742	
IFIT5	1	ENSG00000152778	
RNF217	1	ENSG00000146373	
RALGAPA1P1	1	ENSG00000229419	
CTSD	1	ENSG00000117984	
NAT10	1	ENSG00000135372	
PPDPF	1	ENSG00000125534	
ZNF420	1	ENSG00000197050	
EXT2	1	ENSG00000151348	
