NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	-0.99882555	-2.4028518	0.033126295	0.22560856	0.185	17	tags=4%, list=0%, signal=4%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.99845445	-2.4004846	0.047817048	0.14092651	0.223	6	tags=2%, list=0%, signal=2%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	100	-0.9952791	-2.2697587	0.17357002	0.3629293	0.637	13	tags=1%, list=0%, signal=1%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	-0.99528295	-2.1047487	0.15833333	0.41343734	0.768	8	tags=1%, list=0%, signal=1%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	171	-0.9962708	-2.0919797	0.11111111	0.37331575	0.822	24	tags=2%, list=0%, signal=2%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	189	-0.9966264	-2.081568	0.08384458	0.3443035	0.851	8	tags=1%, list=0%, signal=1%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	177	-0.99415046	-2.059641	0.23962264	0.3539729	0.896	20	tags=1%, list=0%, signal=1%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	195	-0.9919387	-2.0096364	0.26262626	0.3999793	0.941	24	tags=1%, list=0%, signal=1%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.99464244	-2.0025988	0.19620253	0.37520474	0.953	26	tags=2%, list=0%, signal=2%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	192	-0.99205506	-1.9505973	0.28515625	0.50859123	0.991	12	tags=1%, list=0%, signal=1%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	-0.50635487	-1.2127646	0.1328125	0.60333407	0.999	3040	tags=38%, list=15%, signal=44%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	110	-0.528952	-1.191772	0.19341564	0.5610372	0.999	3762	tags=34%, list=19%, signal=41%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	197	-0.5277867	-1.0430098	0.31474105	0.57998586	1.0	2886	tags=30%, list=15%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	151	-0.49706134	-0.9915024	0.29637095	0.5699748	1.0	2221	tags=28%, list=11%, signal=31%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.42049184	-0.9672156	0.37218815	0.54883045	1.0	4939	tags=50%, list=25%, signal=66%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	33	-0.40745565	-0.95984143	0.41992188	0.52021575	1.0	4507	tags=48%, list=23%, signal=63%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	93	-0.41059935	-0.9472434	0.24089068	0.49602568	1.0	3098	tags=31%, list=16%, signal=37%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	192	-0.4440913	-0.8830764	0.31663325	0.5192565	1.0	3576	tags=34%, list=18%, signal=42%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	156	-0.4129925	-0.8551383	0.2834008	0.5184166	1.0	3322	tags=34%, list=17%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.39468917	-0.7752495	0.32612967	0.5878478	1.0	2880	tags=33%, list=15%, signal=38%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		40	-0.3335324	-0.7678053	0.6862745	0.5705769	1.0	2899	tags=28%, list=15%, signal=32%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		145	-0.37744504	-0.7539581	0.33808553	0.5651384	1.0	3481	tags=30%, list=18%, signal=36%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		42	-0.3023707	-0.72811973	0.75919116	0.5825026	1.0	3512	tags=24%, list=18%, signal=29%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		142	-0.29839653	-0.646894	0.5869565	0.722234	1.0	2944	tags=23%, list=15%, signal=27%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		198	-0.2993872	-0.6047551	0.5441767	0.796487	1.0	4009	tags=28%, list=20%, signal=35%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		200	-0.2909483	-0.57951003	0.61904764	0.83255404	1.0	2959	tags=22%, list=15%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		24	-0.24248648	-0.57286125	0.98568505	0.8178805	1.0	6079	tags=50%, list=31%, signal=72%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		184	-0.2572114	-0.5379663	0.8471616	0.8760996	1.0	3917	tags=24%, list=20%, signal=30%	
