NAME	TITLE	SCORE	
XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	1.0073764	
OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	0.7592852	
DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	0.59458727	
SMG1P1	SMG1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44186]	0.5203762	
SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	0.2715813	
CTTNBP2	cortactin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15679]	0.2599451	
XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	0.25152117	
PDE11A	phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]	0.22058786	
SLC33A1	solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]	0.21574163	
CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	0.21491337	
CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	0.207859	
SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	0.20710362	
ATP8A1	ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531]	0.1934484	
ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	0.18484981	
EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	0.17670445	
ZNF84	zinc finger protein 84 [Source:HGNC Symbol;Acc:HGNC:13159]	0.17598584	
SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	0.14112148	
TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	0.12961353	
SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	0.12930365	
ATXN2L	ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]	2.9636675E-4	
MTURN	maturin, neural progenitor differentiation regulator homolog [Source:HGNC Symbol;Acc:HGNC:25457]	2.1971596E-4	
GTF2E1	general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]	1.5161093E-4	
DNAAF4	dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493]	1.238271E-4	
ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	8.590627E-5	
TMEM161B	transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]	7.573415E-5	
DDX24	DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]	7.246031E-5	
FBXW4	F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]	7.167368E-5	
ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	6.055236E-5	
ZMYND11	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	5.944277E-5	
CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	5.7852354E-5	
DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]	5.617556E-5	
MTDH	metadherin [Source:HGNC Symbol;Acc:HGNC:29608]	5.0574985E-5	
UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	4.946933E-5	
RPL10P9	ribosomal protein L10 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35579]	4.7497746E-5	
SNX29	sorting nexin 29 [Source:HGNC Symbol;Acc:HGNC:30542]	4.7457896E-5	
RBM14	RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219]	4.4705226E-5	
SUPT6H	SPT6 homolog, histone chaperone and transcription elongation factor [Source:HGNC Symbol;Acc:HGNC:11470]	4.292174E-5	
CD164	CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]	4.162626E-5	
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2 [Source:HGNC Symbol;Acc:HGNC:6305]	4.023803E-5	
KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	3.904917E-5	
KPNA6	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]	3.8771224E-5	
SURF4	surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476]	3.8554837E-5	
PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]	3.8382852E-5	
