NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	161	2.2998956410447136E-5	0.036098976	Yes	
row_1	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	341	1.8022094081970863E-5	0.06170817	Yes	
row_2	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	431	1.667705873842351E-5	0.08929057	Yes	
row_3	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	792	1.297060680371942E-5	0.09600484	Yes	
row_4	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	1078	1.1166824151587207E-5	0.10304925	Yes	
row_5	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	1107	1.099933433579281E-5	0.12279718	Yes	
row_6	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	1175	1.065001924871467E-5	0.13989621	Yes	
row_7	PEX19	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	1339	9.747849617269821E-6	0.15039341	Yes	
row_8	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1579	8.773683475737926E-6	0.15516394	Yes	
row_9	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	1754	8.166200132109225E-6	0.1620599	Yes	
row_10	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	1794	8.02643353381427E-6	0.17552926	Yes	
row_11	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	1825	7.921155884105247E-6	0.18925218	Yes	
row_12	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	1870	7.774805453664158E-6	0.2019839	Yes	
row_13	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	1906	7.680177077418193E-6	0.21498966	Yes	
row_14	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	1914	7.654073669982608E-6	0.22936435	Yes	
row_15	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	1942	7.556610853498569E-6	0.24253781	Yes	
row_16	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1968	7.494852070522029E-6	0.25569376	Yes	
row_17	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	2022	7.334227575483965E-6	0.2671215	Yes	
row_18	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2224	6.839541129011195E-6	0.27009594	Yes	
row_19	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	2266	6.698529887216864E-6	0.28090852	Yes	
row_20	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	2626	5.801753104606178E-6	0.27387777	Yes	
row_21	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	2839	5.347949354472803E-6	0.2734243	Yes	
row_22	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	2856	5.329655778041342E-6	0.28286973	Yes	
