NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	237	2.0445644622668624E-5	-0.011913535	No	
row_1	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	256	2.000203494390007E-5	-0.012748557	No	
row_2	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1188	1.0566974196990486E-5	-0.059812043	No	
row_3	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	1608	8.664954293635674E-6	-0.08097835	No	
row_4	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1959	7.530180027970346E-6	-0.09865792	No	
row_5	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	2239	6.780684998375364E-6	-0.11274813	No	
row_6	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	2427	6.26995506536332E-6	-0.12218557	No	
row_7	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	2502	6.072847554605687E-6	-0.12590659	No	
row_8	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	3033	4.968380380887538E-6	-0.15270287	No	
row_9	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	4446	2.823298245857586E-6	-0.2241316	No	
row_10	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	5819	1.531487441752688E-6	-0.29354143	No	
row_11	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	6062	1.3531259810406482E-6	-0.30578017	No	
row_12	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	6118	1.312866970692994E-6	-0.30855793	No	
row_13	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	6205	1.2670295745920157E-6	-0.31290424	No	
row_14	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	6361	1.1747713415388716E-6	-0.32074195	No	
row_15	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	7766	5.558393354476721E-7	-0.3917745	No	
row_16	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	9038	2.2782553799061134E-7	-0.4560792	No	
row_17	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	9966	5.010756964907159E-8	-0.5029801	No	
row_18	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	11807	-3.375144501660543E-7	-0.5960727	No	
